6215 14:49:45 X:-0.062 Y:+0.074 T:+11.6.
6253 14:49:45 X:-0.187 Y:+0.082 T:+11.6.
6291 14:49:46 X:-0.181 Y:+0.085 T:+11.6.
6329 14:49:46 X:-0.015 Y:+0.072 T:+11.6.
6367 14:49:47 X:-0.291 Y:+0.091 T:+11.6.
6405 14:49:47 X:+0.027 Y:+0.073 T:+11.6.
6443 14:49:47 X:-0.228 Y:+0.085 T:+11.6.
6481 14:49:48 X:-0.105 Y:+0.081 T:+11.6.
6519 14:49:48 X:-0.112 Y:+0.082 T:+11.6.
6557 14:49:49 X:-0.207 Y:+0.088 T:+11.6.
6595 14:49:49 X:-0.024 Y:+0.077 T:+11.6.
6633 14:49:49 X:-0.246 Y:+0.091 T:+11.6.
6671 14:49:50 X:-0.040 Y:+0.079 T:+11.6.
6709 14:49:50 X:-0.185 Y:+0.086 T:+11.6.
6747 14:49:51 X:-0.136 Y:+0.086 T:+11.6.
6785 14:49:51 X:-0.077 Y:+0.080 T:+11.6.
6823 14:49:51 X:-0.220 Y:+0.088 T:+11.6.
6861 14:49:52 X:-0.042 Y:+0.081 T:+11.6.
6899 14:49:52 X:-0.191 Y:+0.088 T:+11.6.
6937 14:49:53 X:-0.098 Y:+0.081 T:+11.6.
6975 14:49:53 X:-0.157 Y:+0.085 T:+11.6.
7013 14:49:53 X:-0.110 Y:+0.084 T:+11.6.
7051 14:49:54 X:-0.042 Y:+0.077 T:+11.6.
7088 14:49:54 X:-0.260 Y:+0.092 T:+11.6.
7126 14:49:55 X:+0.019 Y:+0.077 T:+11.6.
7164 14:49:55 X:-0.254 Y:+0.090 T:+11.6.
7202 14:49:55 X:-0.061 Y:+0.081 T:+11.6.
7240 14:49:56 X:-0.036 Y:+0.079 T:+11.6.
7278 14:49:56 X:-0.340 Y:+0.097 T:+11.6.
7316 14:49:57 X:+0.109 Y:+0.072 T:+11.6.
7354 14:49:57 X:-0.320 Y:+0.098 T:+11.6.
7392 14:49:58 X:-0.040 Y:+0.084 T:+11.6.
7430 14:49:58 X:-0.071 Y:+0.081 T:+11.6.
7468 14:49:58 X:-0.280 Y:+0.101 T:+11.6.
7506 14:49:59 X:+0.089 Y:+0.081 T:+11.6.
7544 14:49:59 X:-0.277 Y:+0.092 T:+11.6.
7582 14:50:00 X:-0.027 Y:+0.085 T:+11.6.
7620 14:50:00 X:-0.180 Y:+0.101 T:+11.6.
7658 14:50:00 X:-0.112 Y:+0.089 T:+11.6.
7696 14:50:01 X:-0.089 Y:+0.084 T:+11.6.
7734 14:50:01 X:-0.202 Y:+0.102 T:+11.6.
7772 14:50:02 X:+0.002 Y:+0.089 T:+11.6.
7810 14:50:02 X:-0.270 Y:+0.101 T:+11.6.
7848 14:50:02 X:-0.061 Y:+0.095 T:+11.6.
